timestamp,farm_name,hour,day_of_year,irradiance_wm2,ambient_temp_c,panel_temp_c,theoretical_power_kw,power_production_kw,efficiency_percent,inverter_1_status,inverter_2_status,inverter_3_status,inverter_4_status,daily_revenue_eur,anomaly_type,anomaly_severity
2025-06-01 00:00:00,aquitaine,0,152,0.0,18.5,18.5,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 01:00:00,aquitaine,1,152,0.0,20.8,20.8,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 02:00:00,aquitaine,2,152,0.0,19.9,19.9,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 03:00:00,aquitaine,3,152,0.0,19.4,19.4,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 04:00:00,aquitaine,4,152,0.0,17.6,17.6,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 05:00:00,aquitaine,5,152,0.0,17.6,17.6,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 06:00:00,aquitaine,6,152,0.0,23.5,23.5,0.0,0.0,0.0,1,1,1,1,0.0,NORMAL,none
2025-06-01 07:00:00,aquitaine,7,152,226.9,24.3,30.0,318.38,318.38,100.0,1,1,1,1,57.31,NORMAL,none
2025-06-01 08:00:00,aquitaine,8,152,407.3,26.9,37.1,557.13,557.13,100.0,1,1,1,1,157.59,NORMAL,none
2025-06-01 09:00:00,aquitaine,9,152,597.0,25.2,40.2,807.25,807.25,100.0,1,1,1,1,302.9,NORMAL,none
2025-06-01 10:00:00,aquitaine,10,152,750.2,28.1,46.9,989.36,989.36,100.0,1,1,1,1,480.98,NORMAL,none
2025-06-01 11:00:00,aquitaine,11,152,850.8,29.9,51.2,1103.5,1103.5,100.0,1,1,1,1,679.61,NORMAL,none
2025-06-01 12:00:00,aquitaine,12,152,903.4,30.5,53.1,1163.45,1163.45,100.0,1,1,1,1,889.03,NORMAL,none
2025-06-01 13:00:00,aquitaine,13,152,963.9,31.3,55.4,1230.0,1230.0,100.0,1,1,1,1,1110.43,NORMAL,none
